University Name,Program Title,Program Link,Area of Study,Target Group,Focus
University of Erlangen-Nuremberg,Advanced Signal Processing and Communications Engineering,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-advanced-signal-processing-and-communications-engineering-w53204/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w53204&hec-offset=18,Information Technology,,
University of Leipzig,Advanced Spectroscopy in Chemistry,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-leipzig-advanced-spectroscopy-in-chemistry-w15015/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w15015&hec-offset=19,Chemistry,,
University of Regensburg,Advanced Synthesis and Catalysis,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-regensburg-advanced-synthesis-and-catalysis-w52565/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w52565&hec-offset=20,Chemistry,,"Chemical Synthesis and Catalysis, Chemical synthesis and catalysis"
University of Applied Sciences Bremen,Aeronautical Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-bremen-aeronautical-management-w5671/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w5671&hec-offset=21,"['Aeronautical Engineering', 'Business Administration', 'Economic Sciences, Economics']",Pilots prematurely retired from active service due to unfitness to fly; engineers from aeronautical and aerospace engineering,
Munich University of Technology,Aerospace Engineering,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-aerospace-engineering-w36775/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w36775&hec-offset=22,"['Aeronautical Engineering', 'Space Engineering']",,
FH Aachen - University of Applied Sciences,Aerospace Engineering,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/fh-aachen-university-of-applied-sciences-aerospace-engineering-w20978/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w20978&hec-offset=23,"['Aeronautical Engineering', 'Space Engineering']",Aimed at graduates in aerospace engineering/mechanical engineering/related (business) engineering disciplines who wish to qualify for managerial positions and rapid transition into the job market.,
Technical University of Darmstadt,Aerospace Engineering,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-of-darmstadt-aerospace-engineering-w65032/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w65032&hec-offset=24,"['Aeronautical Engineering', 'Space Engineering', 'Mechanical Engineering']",,
University of Cologne,African Studies and Egyptology,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-cologne-african-studies-and-egyptology-w68564/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w68564&hec-offset=25,African Studies,,
University of Cologne,African Studies and Egyptology,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-cologne-african-studies-and-egyptology-w68565/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w68565&hec-offset=26,African Studies,,
University of Bayreuth,"African Studies: Critical Perspectives on Society, Politics, Culture",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-bayreuth-african-studies-critical-perspectives-on-society-politics-culture-w67187/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w67187&hec-offset=27,"['Sociology, Social Science', 'Religious Studies', 'African Studies', 'Ethnology', 'History', 'Cultural History']","Graduates of humanities-, social science- or history-oriented courses of study.",
University of Bayreuth,"African Verbal and Visual Arts (Languages, Literatures, Media and Art)",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-bayreuth-african-verbal-and-visual-arts-languages-literatures-media-and-art-w65558/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w65558&hec-offset=28,African Studies,"Applicants should have an affinity for African languages and an academic background in African Linguistics, Media in Africa, Curatorial Studies, African Literatures, or a related discipline.",
Munich University of Technology,Agricultural Biosciences,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-agricultural-biosciences-w64223/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w64223&hec-offset=29,Agrobiology,,
Humboldt University Berlin,Agricultural Economics,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/humboldt-university-berlin-agricultural-economics-w6045/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w6045&hec-offset=30,Agricultural Economics,"Graduates of Agriculture, Horticulture, Fisheries Management, Nutritional Science, Biology, possibly others","International Agricultural Trade and World Nutrition, Agricultural Management, Structural Change, Competitiveness of Agricultural Production, Agricultural Policy, Resource Conservation and Sustainable Land Use"
University of Bonn,Agricultural Science and Resource Management in the Tropics and Subtropics (ARTS),https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-bonn-agricultural-science-and-resource-management-in-the-tropics-and-subtropics-arts-w890/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w890&hec-offset=31,Agricultural Science,"German and international university graduates (Diplom, Bachelor's degree etc.) in Agricultural Sciences, Environmental Sciences, Horticulture, Agricultural Economics or comparable degrees, (esp. with practical experience) aiming to work in the field of environment-friendly, resource-saving and sustainable agricultural production in developing countries",
University of Hohenheim,Agricultural Sciences in the Tropics and Subtropics,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hohenheim-agricultural-sciences-in-the-tropics-and-subtropics-w6301/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w6301&hec-offset=32,"['Agricultural Science', 'Development Co-operation', 'Sustainability Sciences (Ecological)']","Graduates with an above-average Bachelor degree in Agriculture, Natural Sciences or a related discipline.","Development Aid, Rural Development, Natural Resource Management, Plant and Animal Production"
University of Hohenheim,"Agricultural Sciences, subject Animal Science",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hohenheim-agricultural-sciences-subject-animal-science-w69514/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w69514&hec-offset=33,"['Agricultural Science', 'Husbandry', 'Biology', 'Microbiology', 'Zoology', 'Veterinary Medicine']",,"Animal Nutrition and Feeds, Genomics and Breeding, Health and Behaviour, Microbiome"
University of Hohenheim,"Agricultural Sciences, subject area Advisory and Innovation Services in Agri-Food Systems",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hohenheim-agricultural-sciences-subject-area-advisory-and-innovation-services-in-agri-food-systems-w69547/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w69547&hec-offset=34,"['Agricultural Science', 'Husbandry', 'Sociology, Social Science', 'Guidance', 'Business Consultancy', 'Sustainability Sciences (Economic)']",,"Sustainability and Innovation, Agricultural Policy and Marketing, Animal Sciences, Ecological Agriculture, Plant Sciences"
University of Hohenheim,"Agricultural Sciences, subject area Agricultural Economics",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hohenheim-agricultural-sciences-subject-area-agricultural-economics-w18385/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w18385&hec-offset=35,"['Agricultural Science', 'Economic Sciences, Economics', 'Sustainability Sciences (Economic)']","Graduates with an above-average Bachelor degree in Agricultural Sciences, Economics or a related discipline.","Rural Community Development, Agricultural policy, Economic theory and methods, Food Security, Food Safety, Sustainability"
University of Hohenheim,"Agricultural Sciences, subject area Transformation Management for Sustainable Agri-Food Systems",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hohenheim-agricultural-sciences-subject-area-transformation-management-for-sustainable-agri-food-systems-w69548/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w69548&hec-offset=36,"['Agricultural Science', 'Husbandry', 'Ecology', 'Mediation', 'Sustainability Sciences (Ecological)']",,"Agricultural Ecology and Environment, Diversification of Cultivation Systems, Tropics and Subtropics, Rural Development, Consumers and Value Chains"
University of Kassel,"Agriculture, Ecology and Societies",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-kassel-agriculture-ecology-and-societies-w68262/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w68262&hec-offset=37,"['Agricultural Science', 'Husbandry']",,
Munich University of Technology,"AgriFood Economics, Policy and Regulation",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-agrifood-economics-policy-and-regulation-w70178/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w70178&hec-offset=38,Agricultural Economics,,
Kiel University,AgriGenomics,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/kiel-university-agrigenomics-w30402/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=2&hec-id=w30402&hec-offset=39,Agricultural Science,,
University of Giessen,Agrobiotechnology,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-giessen-agrobiotechnology-w18603/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w18603&hec-offset=40,Biotechnology,Graduates of a Bachelor's degree study course in Agricultural Sciences or a comparable profile,
Technische Hochschule Ingolstadt,AI Engineering of Autonomous Systems,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-ingolstadt-ai-engineering-of-autonomous-systems-w67521/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w67521&hec-offset=41,"['Automation Technology', 'Vehicle Engineering']",,"Data Engineering, Machine Perception, Systems Engineering, Systems Simulation, Computing and Connectivity Technologies, Sensor Networks Technologies, Sensor Data Fusion"
Munich University of Technology,AI in Society,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-ai-in-society-w70184/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w70184&hec-offset=42,Political Science,,
University of Stuttgart,"Air Quality Control, Solid Waste and Waste Water Process Engineering (WASTE)",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-stuttgart-air-quality-control-solid-waste-and-waste-water-process-engineering-waste-w6828/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w6828&hec-offset=43,"['Hydraulic Engineering', 'Environmental Protection Technology']",German and international students.,Environmental Protection Engineering
Technische Universität Dresden,Air Transport and Logistics,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-universitaet-dresden-air-transport-and-logistics-w58774/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w58774&hec-offset=44,"['Communications Technology', 'Traffic Engineering', 'Aeronautical Engineering', 'Logistics, Transport, Transport Management']","A first professionally qualifying degree in Germany or a degree from a state or state-recognised vocational academy in an engineering-science field (civil engineering, industrial engineering, transport engineering, mechanical engineering, electrical engineering or computer science), in a natural sciences field (physics, geography or geodesy), in transport or another university degree in a course of study with comparable previous knowledge.","Air Traffic, Aerodrome Operations, Use of Airspace, Air Traffic Management, Communication, Navigation, Mobility, Freight Transport, Logistics, Aircraft and helicopters"
Ludwig Maximilians University Munich,"American History, Culture and Society",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/ludwig-maximilians-university-munich-american-history-culture-and-society-w40154/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w40154&hec-offset=45,North American Studies,,
Frankfurt University,American Studies,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/frankfurt-university-american-studies-w42222/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w42222&hec-offset=46,"['English Studies', 'American Studies']",,"American Literature, American Culture, American History, Media Studies and Cultural Theory, American Social and Cultural History, Academic Training, Language Practice"
Humboldt University Berlin,American Studies,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/humboldt-university-berlin-american-studies-w16925/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w16925&hec-offset=47,"['English Studies', 'American Studies']","American studies specialists,
Philologists","Media, Culture, Literature, New Media, Society, Language skills"
University of Leipzig,American Studies,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-leipzig-american-studies-w18020/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w18020&hec-offset=48,North American Studies,,"Popular Culture, Transatlantic Relations, ethnic and minority studies, consumer culture, the fantastic, African American Literature, gender studies, Narrativity, interdisciplinarity"
Mainz University,American Studies,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/mainz-university-american-studies-w26737/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w26737&hec-offset=49,"['American Studies', 'Cultural Studies']","Building on a first professionally qualifying B.A. degree (American Studies), the consecutive Master's course in American Studies leads to a further professionally qualifying degree. The Master's course provides in-depth academic specialist knowledge in American Studies, British Studies and Anglophone Languages and the skills to develop scientific principles autonomously and apply scientific methods and findings. It offers career prospects in the following areas: schools, universities, adult education, vocational training, media, publishing, libraries, museums, press and public relations, advertising, information and communication technology, editorial offices","Literary Studies, Cultural and Literary Studies, Inter-disciplinary Studies, Research workshop, Early American Studies, New North American Studies, History"
Heidelberg University,American Studies,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/heidelberg-university-american-studies-w7615/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w7615&hec-offset=50,American Studies,,"Cultural studies, Economics, History, Law"
Eberhard Karls University Tübingen,American Studies,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/eberhard-karls-university-tuebingen-american-studies-w7669/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w7669&hec-offset=51,"['American Studies', 'Media Studies', 'General Linguistic Science']","The wide variety of courses in this Masters program ranges from those on Americas colonial past and early literary culture to those covering contemporary themes in race, class, gender, religious, ethnic, and regional studies.
We pride ourselves on offering students an interdisciplinary curriculum which emphasizes student autonomy, and academic collaboration and exchange.
The program consists of four core aspects:
American Literature and Culture
- Interdisciplinary Profile
- Research
- Practice
Within this structure, students are exposed to the fundamental theoretical framework of American Studies while completing collaborative and independent research projects.
Each year, our department welcomes a number of esteemed guest professors from international universities. Teaching lectures and seminars, our guests bring new and innovative research and perspectives to students of American Studies.
All students of American Studies are encouraged to spend time in an English-speaking country. This is an invaluable opportunity for students to work with experienced professionals in a different academic environment.",
Saarland University,American Studies / British Studies / English Linguistics,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/saarland-university-american-studies-british-studies-english-linguistics-w58647/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w58647&hec-offset=52,"['English Studies', 'American Studies']",,"British Literary and Cultural Studies, English Linguistics, North American Literary and Cultural Studies"
Mainz University,American Studies/Études anglophone (German/French course),https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/mainz-university-american-studiestudes-anglophone-germanfrench-course-w44737/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w44737&hec-offset=53,"['American Studies', 'Intercultural Studies']","The aim of the integrated courses Mainz-Dijon is the acquisition of two degrees, both nationally recognised after successful completion of a relevant degree course. The German university awards the Master of Arts (MA)\; the French University of the Master Recherche (Master's in Research).In addition to the binational specialist training in two educational systems, the acquisition of intercultural competencies is an important component of the course. Compared to regular courses of study, the integrated courses not only offer a double degree, but also educate students for the international labour market without extending the time they spend studying.","Interculturality and Interdisciplinarity, Early American Studies, Cultural Studies, Modern American Literature and Media, Book Trade, Didactics of Language, Intercultural Communication"
Hochschule für angewandte Wissenschaften Coburg,"Analytical Instruments, Measurement and Sensor Technology (AIMS)",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/hochschule-fuer-angewandte-wissenschaften-coburg-analytical-instruments-measurement-and-sensor-technology-aims-w19313/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w19313&hec-offset=54,"['Automation Technology', 'Electronics', 'Optoelectronics', 'Nanotechnology', 'Sensor Technology, Measurement Technology']",Engineers,"Computer-Based Measurement, Data Analysis, Digitally Embedded, Engineering, Sensor Technology, Chemical Sensors, Sensors and Microsystems, IoT, Cybersecurity, Industrial Reliability"
Eberhard Karls University Tübingen,Anglophone Literature and Cultures,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/eberhard-karls-university-tuebingen-anglophone-literature-and-cultures-w7670/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w7670&hec-offset=55,English Studies,"This area of study delves into the rich tradition of English literature in Great Britain, as well as the newer literatures that have emerged in English across the globe. Of particular interest is the role literature has played across a range of cultural contexts throughout history, both in terms of its functions and achievements.
Literature is therefore viewed as an integral part of the culture of the modern era, in the widest sense of the phrase encompassing cultural developments from the Middle Ages to the post-modern era. More recent developments in the field, built on the concept of literary studies as a form of media studies and cultural studies, form the basis for exploring the relationship between literary texts and other types of text and media, thus creating a productive link between literary and cultural studies. The ability to critically analyse and reflect on texts of any kind constitutes the core principle underlying teaching and learning in this area.
A Masters degree in English Studies will prepare students for jobs predominantly (but not exclusively) in the areas of public relations, adult education, intercultural communication, and in similar career fields where a strong background in communicative and intercultural skills, in addition to excellent foreign language skills, plays a crucial role.",
University of Trier,Anglophone Literatures and Media,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-trier-anglophone-literatures-and-media-w70537/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w70537&hec-offset=56,English Studies,,
Frankfurt University,"Anglophone Literatures, Cultures and Media",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/frankfurt-university-anglophone-literatures-cultures-and-media-w42203/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w42203&hec-offset=57,American Studies,,"Literature and Media Culture, Literature and Cultural History, Transcultural Anglophone Studies, Study of Literature in Historical Concepts, Comparative Study of Anglophone Literatures and Cultures, Literature as Medium of Cultural Communication, Cultural Memory Studies, Anglophone Literatures"
University of Potsdam,Anglophone Modernities in Literature and Culture,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-potsdam-anglophone-modernities-in-literature-and-culture-w36786/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w36786&hec-offset=58,"['English Studies', 'Cultural Studies', 'General Literary Studies']","- Graduates with an appropriate first degree, such as English, American or Anglophone studies, or comparable literary and cultural studies anglophone degree with at least 40 credits in the fields of Literature and Cultural Studies
- The conditions for access and admission can be found in the admission regulations: see www.uni-potsdam.de/studium/konkret/rechtsgrundlagen/zulassungsordnungen-fuer-master",
University of Giessen,Anglophone Studies,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-giessen-anglophone-studies-w47542/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=3&hec-id=w47542&hec-offset=59,English Studies,,
University of Veterinary Medicine Hannover,Animal Biology and Biomedical Sciences,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-veterinary-medicine-hannover-animal-biology-and-biomedical-sciences-w22127/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=4&hec-id=w22127&hec-offset=60,Biology,,"1. Evolution, Biodiversity and Behaviour, 2. Cellular Biology, Developmental Biology and Neurobiology, 3. Infection Biology"
University of Applied Sciences Darmstadt,Animation and Game (MA),https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-darmstadt-animation-and-game-ma-w68497/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=4&hec-id=w68497&hec-offset=61,Multimedia,,"Creative Direction, Technical Direction"
University of Bonn,Anthropology of the Americas,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-bonn-anthropology-of-the-americas-w62092/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=4&hec-id=w62092&hec-offset=62,"['Cultural Anthropology', 'Cultural History', 'Latin American Studies']",,"Indigenous societies of Latin America, New World, Continent – America, Native American Languages"
Eberhard Karls University Tübingen,Applied & Environmental Geoscience (AEG),https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/eberhard-karls-university-tuebingen-applied-environmental-geoscience-aeg-w5931/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=4&hec-id=w5931&hec-offset=63,"['Geosciences', 'Environmental Science']","The M.Sc. program 'Applied & Environmental Geoscience' (AEG) is an international research-oriented study program focusing on the evaluation and solution of environmental problems. Special emphasis is given to environmental problems in the subsurface such as the pollution of drinking water supplies from groundwater resources, the non-sustainable use of natural resources, the impact of short and long term waste disposal, the impact of climate and land-use change on soil and water quality.
The program aims for a comprehensive understanding of the physical, chemical, and biological process mechanisms in the geo- and hydrosphere. Students from various science backgrounds learn to qualitatively and quantitatively address complex processes in soils, water and air and to evaluate environmental risks based on multi-disciplinary approaches.",
Technische Hochschule Deggendorf,Applied Artificial Intelligence for Digital Production Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-deggendorf-applied-artificial-intelligence-for-digital-production-management-w67708/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=4&hec-id=w67708&hec-offset=64,,,
